Profile Pic,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Delta,Fake
1,2,0,42,1,0,0,0,102,678,405,273,0
1,2,0,0,0,0,0,0,58,334,434,-100,0
1,0,0,0,0,0,0,0,44,539,364,175,0
1,2,0,14,0,0,0,0,188,3098,286,2812,0
1,2,0,0,0,0,0,1,496,1079,1979,-900,0
1,2,0,0,0,0,0,0,139,4823,1245,3578,0
1,2,0,119,1,0,1,0,17929,2829981,3,2829978,0
1,2,0.2857,143,1,0,0,1,59,388,403,-15,0
1,2,0,22,1,0,0,0,1080,758,755,3,0
1,2,0,82,1,0,1,0,3059,52072642,1137,52071505,0
1,2,0,148,1,0,1,0,1646,4486001,1128,4484873,0
1,2,0,0,1,0,1,0,2777,207274684,440,207274244,0
1,2,0,59,1,0,1,0,993,36622051,373,36621678,0
1,3,0,82,1,0,1,1,8544,37929360,57,37929303,0
1,1,0,47,0,0,0,1,99,1091,3083,-1992,0
1,2,0,0,1,0,1,0,45,26597550,112,26597438,0
1,2,0,0,1,0,1,0,260,5763212,329,5762883,0
1,3,0,96,1,0,0,0,33,225723,3,225720,0
1,2,0,32,1,0,0,1,233,904,830,74,0
1,2,0,0,0,0,0,0,143,1024,977,47,0
1,1,0,28,0,0,0,0,65,652,730,-78,0
1,1,0,0,0,0,0,0,186,309,441,-132,0
1,3,0,0,0,0,0,0,9,484,746,-262,0
1,1,0,140,0,0,0,1,119,222202,496,221706,0
1,2,0,116,1,0,0,1,445,221840,2,221838,0
1,2,0,0,0,0,0,0,7,464,666,-202,0
1,3,0,59,1,0,0,1,2319,287082,6,287076,0
1,1,0,56,0,0,0,1,44,1043,597,446,0
1,2,0,58,0,0,0,1,4,114,171,-57,0
1,2,0,18,1,0,1,1,543,1824784,345,1824439,0
1,2,0,65,0,0,0,1,175,830,769,61,0
1,2,0,0,0,0,0,1,80,440,397,43,0
1,2,0,146,1,0,0,1,750,2060,3296,-1236,0
1,2,0,0,0,0,0,0,7,104,199,-95,0
1,2,0,90,1,0,0,0,136,746,765,-19,0
1,2,0,0,0,0,0,0,130,860,716,144,0
1,2,0,94,0,0,0,0,98,1286,660,626,0
1,0,0,0,0,0,0,0,14,528,1193,-665,0
1,2,0,141,0,0,0,0,59,535,649,-114,0
1,2,0,11,0,0,0,1,63,623,527,96,0
1,2,0,23,1,0,1,0,27,30491886,329,30491557,0
1,2,0,0,0,0,0,1,22,332,719,-387,0
1,2,0,47,0,0,0,1,702,1474,579,895,0
1,2,0,31,1,0,0,1,60,338,75,263,0
1,2,0,42,0,0,0,1,359,1586,829,757,0
1,4,0,90,1,0,0,1,871,28964,247,28717,0
1,2,0,0,0,0,0,1,300,1050,510,540,0
1,2,0,6,0,0,0,0,38,1294,347,947,0
1,2,0,17,0,0,0,1,16,857,410,447,0
1,1,0,58,0,0,0,1,2185,370195,87,370108,0
1,1,0,0,0,0,0,0,495,1885,939,946,0
1,1,0,149,0,0,0,1,156,226,187,39,0
1,0,0,46,0,0,0,1,512,58034,717,57317,0
1,1,0,14,0,0,0,1,213,33000,296,32704,0
1,5,0,70,1,0,0,1,9,3570,519,3051,0
1,1,0,25,0,0,0,1,84,1118,570,548,0
1,3,0,146,1,0,0,1,974,5654,3800,1854,0
1,3,0,119,1,0,0,0,2109,7460,1993,5467,0
1,3,0,13,0,0,0,1,1497,874,379,495,0
1,1,0,135,0,0,0,1,70,285,638,-353,0
1,1,0,51,0,0,0,1,66,2370,1789,581,0
1,1,0,34,1,0,0,0,67,700,1335,-635,0
1,1,0,81,0,0,0,1,242,153,241,-88,0
1,2,0,92,1,0,0,0,684,13822,1691,12131,0
1,2,0,127,1,0,0,1,134,127349,528,126821,0
1,0,0,0,0,0,0,0,168,937,762,175,0
1,3,0,104,1,0,0,0,29,13668,24,13644,0
1,3,0,97,0,0,0,1,1383,84528,398,84130,0
1,3,0,43,0,0,1,0,1197,1629957,720,1629237,0
1,1,0,140,0,0,0,1,706,5439,792,4647,0
1,2,0,34,0,0,0,0,725,16445,1154,15291,0
1,2,0,142,1,0,1,1,1621,15100,1145,13955,0
1,4,0,94,1,0,0,1,535,654,343,311,0
1,2,0,91,1,0,0,1,240,848,640,208,0
1,2,0,132,1,0,1,0,233,359990,660,359330,0
1,1,0,105,1,0,1,1,984,95604,286,95318,0
1,1,0,29,1,0,1,1,1449,590960,1,590959,0
1,3,0,111,1,0,0,0,1140,84399,226,84173,0
1,2,0,37,0,0,0,1,276,112851,583,112268,0
1,6,0,84,1,0,0,1,236,2137,633,1504,0
1,5,0,142,1,0,0,1,4317,643195,564,642631,0
1,3,0,143,0,0,0,1,1410,19363,3312,16051,0
1,2,0,41,0,0,1,1,640,188539,377,188162,0
1,2,0,62,0,0,0,1,1301,7320,2591,4729,0
1,2,0,47,0,0,0,0,9,1422,1956,-534,0
1,2,0,31,1,0,0,0,288,19772,993,18779,0
1,2,0,74,1,0,0,0,2221,26399,974,25425,0
1,2,0,150,1,0,0,1,206,6401,5857,544,0
1,2,0,0,1,0,1,1,126,192095,1,192094,0
1,2,0,0,1,0,1,1,1074,199605,0,199605,0
1,2,0,0,1,0,1,1,1152,445397,0,445397,0
1,2,0,60,1,0,1,0,1637,1176604,847,1175757,0
1,5,0,147,0,0,0,1,287,7275,5779,1496,0
1,2,0,0,0,0,0,0,159,537,369,168,0
1,1,0,29,0,0,0,1,76,2031,948,1083,0
1,2,0,117,1,0,0,0,490,50894,315,50579,0
1,2,0,105,0,0,0,1,354,10797,1068,9729,0
1,2,0,136,1,0,0,1,227,19703,2523,17180,0
1,2,0,148,1,0,0,0,1319,28179,3295,24884,0
1,3,0,32,0,0,0,1,210,39506,904,38602,0
1,1,0,145,1,0,0,1,925,40925,3403,37522,0
1,3,0,107,1,0,0,0,372,21054,925,20129,0
1,2,0,45,0,0,0,0,1626,251653,444,251209,0
1,1,0,28,1,0,0,0,188,129327,564,128763,0
1,2,0,42,1,0,1,1,6585,7497761,108,7497653,0
1,1,0,54,0,0,0,1,350,1189,1123,66,0
1,1,0,0,0,0,0,1,664,63434,6246,57188,0
1,2,0,81,0,0,0,0,59,4554,0,4554,0
1,2,0,57,1,0,0,1,17,1141,205,936,0
1,1,0,18,0,0,0,0,23,133,473,-340,0
1,4,0,128,1,0,0,0,1595,46887,187,46700,0
1,3,0,133,1,0,1,1,5733,155956,3462,152494,0
1,2,0,0,1,0,1,1,6597,278906,1399,277507,0
1,1,0,137,1,0,0,1,742,5663,3814,1849,0
1,1,0,61,1,0,0,1,235,113848,27,113821,0
1,2,0,15,1,0,0,1,181,1374,612,762,0
1,1,0,43,0,0,0,0,31,499,458,41,0
1,0,0,2,0,0,1,1,17,299846,635,299211,0
1,2,0,31,0,0,0,1,285,30720,1414,29306,0
1,2,0,40,0,0,1,0,74,344349,535,343814,0
1,1,0,7,0,0,0,1,115,359,230,129,0
1,2,0,110,1,0,0,0,2237,8120,255,7865,0
1,2,0,53,0,0,0,1,665,4080,615,3465,0
1,2,0,116,0,0,0,0,100,1188,465,723,0
1,2,0,134,0,0,0,0,365,47452,599,46853,0
1,3,0,113,1,0,1,0,4427,61413,914,60499,0
1,2,0,80,0,0,0,1,171,1037,951,86,0
1,1,0,104,0,0,0,1,538,3287,410,2877,0
1,3,0,149,1,0,0,1,461,7944,1038,6906,0
1,2,0,74,1,0,0,1,606,46062,2921,43141,0
1,3,0,120,1,0,0,0,548,19305,2141,17164,0
1,2,0,145,0,0,0,1,216,1704,526,1178,0
1,3,0,12,0,0,0,0,125,1471,1006,465,0
1,2,0,146,0,0,0,1,1138,14349,1876,12473,0
1,4,0,134,1,0,0,1,1618,60732,69,60663,0
1,2,0,68,1,0,0,1,139,17084,2879,14205,0
1,2,0,44,0,0,0,1,249,9681,728,8953,0
1,2,0,122,1,0,0,0,5629,676112,10,676102,0
1,1,0,24,1,0,0,1,114,3387,993,2394,0
1,2,0,129,1,0,0,1,83,2352,1430,922,0
1,3,0,118,0,0,0,1,36,1173,1449,-276,0
1,2,0,113,1,0,0,1,156,12439,791,11648,0
1,2,0,48,0,0,0,0,15,51,6,45,0
1,3,0,67,0,0,0,1,1236,3539,881,2658,0
1,3,0,48,0,0,0,1,90,3447,675,2772,0
1,1,0,89,1,0,0,0,1718,82988,1372,81616,0
1,3,0,123,1,0,0,1,888,30699,239,30460,0
1,1,0,0,0,0,0,0,1692,6124,1452,4672,0
1,2,0,22,0,0,0,1,9,1702,879,823,0
1,1,0,118,0,0,1,0,354,618308,866,617442,0
