Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake,Username
1,0,2,42,1,0,0,0,102,678,405,0,matteo_cattani_
1,0.067,2,0,0,0,0,0,58,334,434,0,gabrielebegani5
1,0,0,0,0,0,0,0,44,539,364,0,mattelazzari
1,0,2,14,0,0,0,0,188,3098,286,0,davidobrasil
1,0,2,0,0,0,0,1,496,1079,1979,0,sofiazammarchi_
1,0,2,0,0,0,0,0,139,4823,1245,0,giuliamarasi
1,0,2,119,1,0,1,0,17929,2829981,3,0,insanitypage
1,0.308,2,143,1,0,0,1,59,388,403,0,palanzano1946
1,0,2,22,1,0,0,0,1080,758,755,0,sofi_vicini
1,0,2,82,1,0,1,0,3059,52072642,1137,0,gigihadid
1,0.077,2,148,1,0,1,0,1646,4486001,1128,0,marchisiocla8
1,0,2,0,1,0,1,0,2777,207274684,440,0,cristiano
1,0,2,59,1,0,1,0,993,36622051,373,0,paulodybala
1,0,3,82,1,0,1,1,8544,37929360,57,0,juventus
1,0,1,47,0,0,0,1,99,1091,3083,0,unipulp
1,0,2,0,1,0,1,0,45,26597550,112,0,blakelively
1,0,2,0,1,0,1,0,260,5763212,329,0,itsmeleighton
1,0,3,96,1,0,0,0,33,225723,3,0,muschioselvaggio
1,0,2,32,1,0,0,1,233,904,830,0,alle__duboffi
1,0,2,0,0,0,0,0,143,1024,977,0,giovi_teba
1,0,1,28,0,0,0,0,65,652,730,0,francesco_vignali_
1,0,1,0,0,0,0,0,186,309,441,0,enrico_brilla
1,0,3,0,0,0,0,0,9,484,746,0,stefano.n.ferrari
1,0,1,140,0,0,0,1,119,222202,496,0,umbertone_ilvero
1,0,2,116,1,0,0,1,445,221840,2,0,brightswimwear
1,0.375,2,0,0,0,0,0,7,464,666,0,raba_792
1,0,3,59,1,0,0,1,2319,287082,6,0,filmfactory__
1,0,1,56,0,0,0,1,44,1043,597,0,anto_piscicelli
1,0,2,58,0,0,0,1,4,114,171,0,il_quadrifoglio_di_mb
1,0,2,18,1,0,1,1,543,1824784,345,0,luis_sal
1,0,2,65,0,0,0,1,175,830,769,0,leonardogalloni
1,0,2,0,0,0,0,1,80,440,397,0,guglielmoravagli
1,0,2,146,1,0,0,1,750,2060,3296,0,septshirt
1,0.2,2,0,0,0,0,0,7,104,199,0,eleelena96
1,0,2,90,1,0,0,0,136,746,765,0,bio_vicio
1,0,2,0,0,0,0,0,130,860,716,0,cosimopedrelli
1,0,2,94,0,0,0,0,98,1286,660,0,chiara_melloni
1,0,0,0,0,0,0,0,14,528,1193,0,pietro_schiaretti
1,0,2,141,0,0,0,0,59,535,649,0,ele_chellina
1,0,2,11,0,0,0,1,63,623,527,0,danielbehravan
1,0,2,23,1,0,1,0,27,30491886,329,0,jenniferaniston
1,0,2,0,0,0,0,1,22,332,719,0,riccardo.andreolli
1,0,2,47,0,0,0,1,702,1474,579,0,sabrinamilesi_
1,0,2,31,1,0,0,1,60,338,75,0,tequiero.party
1,0,2,42,0,0,0,1,359,1586,829,0,gregoriomonica_
1,0,4,90,1,0,0,1,871,28964,247,0,studenti.unicatt
1,0.3,2,0,0,0,0,1,300,1050,510,0,alessio400
1,0,2,6,0,0,0,0,38,1294,347,0,ariadneezucchi
1,0,2,17,0,0,0,1,16,857,410,0,mariachiaramanici_
1,0,1,58,0,0,0,1,2185,370195,87,0,musetti_animaletti
1,0,1,0,0,0,0,0,495,1885,939,0,cristianaadorni
1,0,1,149,0,0,0,1,156,226,187,0,dachiragasparma
1,0,0,46,0,0,0,1,512,58034,717,0,leonardotano
1,0.091,1,14,0,0,0,1,213,33000,296,0,lorenzotan0
1,0,5,70,1,0,0,1,9,3570,519,0,kelvylobomusic
1,0,1,25,0,0,0,1,84,1118,570,0,matildemarconi_
1,0,3,146,1,0,0,1,974,5654,3800,0,carpediem_milano
1,0,3,119,1,0,0,0,2109,7460,1993,0,isabellapetrosillo
1,0,3,13,0,0,0,1,1497,874,379,0,francicerri
1,0,1,135,0,0,0,1,70,285,638,0,makeup.b.artist
1,0,1,51,0,0,0,1,66,2370,1789,0,bianca_ispass
1,0,1,34,1,0,0,0,67,700,1335,0,mr.hxly
1,0,1,81,0,0,0,1,242,153,241,0,nailsbydenna_
1,0,2,92,1,0,0,0,684,13822,1691,0,normanrinaldi
1,0,2,127,1,0,0,1,134,127349,528,0,ponyhawk__
1,0,0,0,0,0,0,0,168,937,762,0,ollyaurora_
1,0,3,104,1,0,0,0,29,13668,24,0,lundyandherman
1,0,3,97,0,0,0,1,1383,84528,398,0,_arteecultura_
1,0,3,43,0,0,1,0,1197,1629957,720,0,salmaabudeif
1,0,1,140,0,0,0,1,706,5439,792,0,the_girls_of_eicma_official
1,0,2,34,0,0,0,0,725,16445,1154,0,rachelefogar
1,0,2,142,1,0,1,1,1621,15100,1145,0,daniel_canzian
1,0,4,94,1,0,0,1,535,654,343,0,ribonius
1,0,2,91,1,0,0,1,240,848,640,0,aribarazzoni
1,0,2,132,1,0,1,0,233,359990,660,0,umbertusss
1,0,1,105,1,0,1,1,984,95604,286,0,rosamosario_official
1,0,1,29,1,0,1,1,1449,590960,1,0,inamoratawoman
1,0,3,111,1,0,0,0,1140,84399,226,0,fleetilya
1,0,2,37,0,0,0,1,276,112851,583,0,matruletattoo
1,0,6,84,1,0,0,1,236,2137,633,0,elletattoos.ca
1,0,5,142,1,0,0,1,4317,643195,564,0,sashatattooing
1,0,3,143,0,0,0,1,1410,19363,3312,0,samueletavazzi
1,0,2,41,0,0,1,1,640,188539,377,0,francescatocca
1,0,2,62,0,0,0,1,1301,7320,2591,0,meavewiiley
1,0,2,47,0,0,0,0,9,1422,1956,0,_rebeccabloomwood
1,0,2,31,1,0,0,0,288,19772,993,0,j.bleu
1,0,2,74,1,0,0,0,2221,26399,974,0,alicebosconails
1,0,2,150,1,0,0,1,206,6401,5857,0,davidebernardelli
1,0,2,0,1,0,1,1,126,192095,1,0,aminamuaddiofficial
1,0,2,0,1,0,1,1,1074,199605,0,0,the.peterdo
1,0,2,0,1,0,1,1,1152,445397,0,0,jilsander
1,0.167,2,60,1,0,1,0,1637,1176604,847,0,goicoechea22
1,0,5,147,0,0,0,1,287,7275,5779,0,cory_nails_and_beauty_milano_
1,0,2,0,0,0,0,0,159,537,369,0,irecinus
1,0,1,29,0,0,0,1,76,2031,948,0,giuliachelotti
1,0,2,117,1,0,0,0,490,50894,315,0,somniaromantica
1,0,2,105,0,0,0,1,354,10797,1068,0,ilariadolar
1,0,2,136,1,0,0,1,227,19703,2523,0,alessiadonesss
1,0,2,148,1,0,0,0,1319,28179,3295,0,fabio_pregnolato_ph
1,0,3,32,0,0,0,1,210,39506,904,0,mariavittoriaferrarini
1,0,1,145,1,0,0,1,925,40925,3403,0,naheva_official
1,0,3,107,1,0,0,0,372,21054,925,0,maria.chob
1,0,2,45,0,0,0,0,1626,251653,444,0,idasjunnesson
1,0,1,28,1,0,0,0,188,129327,564,0,kitrysha
1,0,2,42,1,0,1,1,6585,7497761,108,0,acmilan
1,0,1,54,0,0,0,1,350,1189,1123,0,davidepoloni
1,0,1,0,0,0,0,1,664,63434,6246,0,roarvale
1,0,2,81,0,0,0,0,59,4554,0,0,chiara.nashop
1,0,2,57,1,0,0,1,17,1141,205,0,fffabrizia
1,0,1,18,0,0,0,0,23,133,473,0,flora.didedda
1,0,4,128,1,0,0,0,1595,46887,187,0,sonoilkingdelledruoghe
1,0,3,133,1,0,1,1,5733,155956,3462,0,vincenzodascanio
1,0.111,2,0,1,0,1,1,6597,278906,1399,0,alessandragrillo12
1,0,1,137,1,0,0,1,742,5663,3814,0,streetpeoplecasting
1,0,1,61,1,0,0,1,235,113848,27,0,wanderingofficial
1,0,2,15,1,0,0,1,181,1374,612,0,matteoxmontagna
1,0.25,1,43,0,0,0,0,31,499,458,0,emiliano.180
1,0,0,2,0,0,1,1,17,299846,635,0,alessiocampolii
1,0,2,31,0,0,0,1,285,30720,1414,0,_stefaniaferri
1,0,2,40,0,0,1,0,74,344349,535,0,veronicaburchielli
1,0,1,7,0,0,0,1,115,359,230,0,elisamazzuu
1,0,2,110,1,0,0,0,2237,8120,255,0,wannabemgmt
1,0,2,53,0,0,0,1,665,4080,615,0,giorgiaholic
1,0,2,116,0,0,0,0,100,1188,465,0,princigirls
1,0,2,134,0,0,0,0,365,47452,599,0,jessicapix_
1,0,3,113,1,0,1,0,4427,61413,914,0,amandatoy
1,0,2,80,0,0,0,1,171,1037,951,0,camilla.volpini
1,0,1,104,0,0,0,1,538,3287,410,0,borbonibenedetta
1,0,3,149,1,0,0,1,461,7944,1038,0,myclosetmilano
1,0,2,74,1,0,0,1,606,46062,2921,0,nyktos_ph
1,0,3,120,1,0,0,0,548,19305,2141,0,robertomanniniphoto
1,0,2,145,0,0,0,1,216,1704,526,0,andreacremas_ph
1,0,3,12,0,0,0,0,125,1471,1006,0,giotabacchi
1,0,2,146,0,0,0,1,1138,14349,1876,0,juliverinova
1,0,4,134,1,0,0,1,1618,60732,69,0,lefayresorts
1,0,2,68,1,0,0,1,139,17084,2879,0,fabiobozzetti
1,0,2,44,0,0,0,1,249,9681,728,0,gotommypro
1,0,2,122,1,0,0,0,5629,676112,10,0,couples_magazine
1,0,1,24,1,0,0,1,114,3387,993,0,monalavia
1,0,2,129,1,0,0,1,83,2352,1430,0,dr_pedrelli_inkremoval_milano
1,0,3,118,0,0,0,1,36,1173,1449,0,the.secretroom
1,0,2,113,1,0,0,1,156,12439,791,0,cristian_imperiale
1,0,2,48,0,0,0,0,15,51,6,0,lara_arluni_fan_page
1,0,3,67,0,0,0,1,1236,3539,881,0,lauraadicristofaro
1,0,3,48,0,0,0,1,90,3447,675,0,klover_studio
1,0,1,89,1,0,0,0,1718,82988,1372,0,mcqueen_vault
1,0,3,123,1,0,0,1,888,30699,239,0,motorbikeexpo
1,0,1,0,0,0,0,0,1692,6124,1452,0,iocca
1,0,2,22,0,0,0,1,9,1702,879,0,eleonorachiarato
1,0,1,118,0,0,1,0,354,618308,866,0,robertazacchero
1,0,3,112,1,0,0,0,353,12352,495,0,taty_etl
1,0,3,96,1,0,0,0,429,124952,273,0,lexx.little
1,0,2,34,1,0,0,0,219,1014,846,0,emilia__corrado
1,0,4,134,1,0,0,1,180,82739,576,0,riccardoderinaldis
1,0,2,80,1,0,0,0,1061,672308,138,0,radoslav_raychev
1,0.429,3,21,1,0,0,1,194,21900,499,0,mag_104
1,0,3,78,1,0,0,0,2039,19565,2283,0,trailcam_outdoorsara
1,0,2,140,1,0,1,0,1040,3310695,251,0,andreideiu_
1,0,2,115,1,0,1,0,2344,3962636,205,0,jeff_seid
1,0,2,36,1,0,1,1,399,16962068,401,0,georginagio
1,0.1,2,147,1,0,0,0,2430,29375,1490,0,eugeniosc8
1,0,2,0,0,0,0,0,10,669,296,0,andreabeglioomini
1,0,4,111,1,0,1,0,611,966719,2233,0,vegasyt
1,0,2,117,1,0,0,0,310,156123,286,0,oliverforslin
1,0,3,71,0,0,0,1,107,21595,79,0,collegio.edit
1,0,2,68,1,0,0,0,41,706305,554,0,sigh.tanc
1,0,2,123,1,0,1,0,2575,1758235,262,0,surry
1,0,1,0,0,0,0,0,60,269,111,0,marilena.mery
1,0,2,26,1,0,1,0,5238,129898680,376,0,justinbieber
1,0,1,26,0,0,0,1,7,1294,992,0,manuel.cavalleri
1,0,2,131,1,0,1,0,1121,2439411,1849,0,ludovicapagani
1,0,2,90,1,0,1,0,172,1641401,149,0,roberryc
1,0,4,90,1,0,1,0,2844,2307159,174,0,lookatsascha
1,0,3,123,1,0,0,0,194,38936,540,0,andrea_miccio_trainer
1,0,2,93,0,0,1,0,360,139666,1954,0,luca__raina
1,0,1,111,1,0,0,0,56,673210,717,0,diegolazzari_
1,0,1,116,1,0,1,0,206,1935205,97,0,rosalba
1,0,1,75,0,0,0,1,1,642,539,0,georgealliwant
1,0,1,61,0,0,0,0,8,1119,945,0,miriammasio
1,0,5,150,0,0,0,0,2435,43460,7438,0,lucialuciano
1,0,1,27,1,0,1,1,25,2300420,405,0,ghali
1,0,2,141,0,0,1,0,241,215375,1778,0,joridelli
1,0,2,90,0,0,0,1,536,172218,993,0,tonyipants
1,0,2,63,1,0,1,1,1354,2078442,190,0,la_mainoo
1,0,3,42,1,0,0,1,11,1361,570,0,_emanueledimurro_
1,0,2,77,0,0,0,0,759,146977,124,0,luigi_lauro
1,0,2,125,1,0,1,1,1286,1251352,0,0,rowanrow
1,0,4,115,1,0,0,1,8104,466908,5812,0,bestofcasualstyle
1,0,2,118,0,0,0,1,238,81226,137,0,nunoantunes_
1,0.231,1,147,0,0,0,1,1542,98669,211,0,gentlleman007
1,0,6,38,0,0,0,1,203,325940,378,0,__ivanx__
1,0.2,1,11,0,0,0,0,1,102,269,0,eva_chou13
1,0,3,66,1,0,1,0,125,1449279,178,0,sespo
1,0,2,52,0,0,1,0,163,410099,145,0,adriano.occulto
1,0,2,119,1,0,1,0,260,9643333,1469,0,charlidamelio
1,0,2,136,1,0,1,1,60,600097,992,0,robertomagro_
1,0,2,125,1,0,0,1,3228,459517,1,0,zaramenmag
1,0,3,146,1,0,0,1,20,1319,397,0,edoardo_maria_
1,0,2,69,1,0,1,1,40,207462,331,0,alessandro__carnevale
1,0,2,124,1,0,0,0,35,258099,168,0,alysiapiccamiglio
1,0,1,29,0,0,1,0,86,1387401,209,0,valerio.mazzei
1,0,2,105,1,0,0,0,316,418230,297,0,giuseppe__barbuto
1,0,1,28,1,0,1,1,5553,23161521,6,0,prada
1,0,2,88,1,0,1,0,258,40459579,966,0,dualipa
1,0,3,48,1,0,1,1,4198,37674603,5,0,louisvuitton
1,0,1,0,1,0,1,1,6743,39909522,206,0,gucci
1,0,2,139,0,0,0,0,185,119657,646,0,piero_maggio_official
1,0,2,45,0,0,1,0,93,536357,579,0,martinabrondin
1,0,4,126,1,0,1,1,529,1279504,704,0,alice.debortoli
1,0,1,93,0,0,0,0,2215,305596,321,0,fabrizioaldobelfiore
1,0,0,9,1,0,1,0,0,1130515,0,0,tha.supreme
1,0,3,122,0,0,0,0,8,324,256,0,bugiac
1,0,2,142,1,0,0,1,134,35852,425,0,niccolo_leone_ph
1,0,2,108,1,0,0,0,250,77158,668,0,marilisapino
1,0,1,80,0,0,0,0,6,174,87,0,il.sorriso.di.george
1,0,3,133,0,0,1,1,27,217883,314,0,montuorigabrielee
1,0,2,60,1,0,0,0,43,171216,87,0,phrancescoguarnieri
1,0.4,1,93,1,0,0,1,7,1228,6100,0,ema1431_qz
1,0,1,0,0,0,0,1,15,765,969,0,garbariniguido
1,0,2,108,0,0,0,0,60,492449,307,0,claudia.dorelfii
1,0.111,1,63,0,0,1,1,2642,226902,82,0,instarai2
1,0,0,72,0,0,0,0,76,1241,376,0,george.my.wish
1,0,1,115,0,0,0,0,5,250,32,0,lebimbediciupilan
1,0,2,63,1,0,1,0,60,210352,449,0,andrea.bellantoni
1,0,1,127,0,0,0,1,15,642,238,0,georgexshine__
1,0,1,73,0,0,0,0,7,441,40,0,aliveforgeorge
1,0,2,148,1,0,1,1,4686,1633507,335,0,gfuelenergy
1,0,2,71,1,0,0,1,2140,10697,1218,0,epicfireworks
1,0,3,36,1,0,1,1,3426,726061,1,0,alyxstudio
1,0,2,137,1,0,1,0,431,224066,10,0,tommywiseau
1,0,1,110,1,0,0,0,127,299736,365,0,chanbanhi
1,0,2,116,1,0,0,1,680,17715,1,0,additionadelaide
1,0,2,130,1,0,1,1,119,984001,50,0,jontronshow
1,0,2,77,1,0,1,0,160,230347,27,0,boyinaband
1,0,1,25,1,0,1,1,140,9647899,369,0,mrbeast
1,0,1,70,1,0,0,0,372,229138,344,0,cyranek_
