Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake,Profile Pic Url,Username
1,0,2,42,1,0,0,111,688,409,1,3.0,11.111,68.3,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/89827540_2861231930624438_2700182429313794048_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=Gvv7aWDLrjMAX_FyOJM&oh=369dddb6acb420c2b7926f2b2d35c4a7&oe=5EAC2D2A,matteo_cattani_
1,0.067,2,0,0,0,0,58,353,456,1,8.621,0.8,31.121,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/82770000_194744798302099_6033210160636231680_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=zgeNHL4qNVcAX_-1xY8&oh=14a9ec1a5be3d20071f831826363daa2&oe=5EAC7FA0,gabrielebegani5
1,0,0,0,0,0,0,44,535,364,1,4.545,1.417,49.75,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/81239085_735172427013705_4638704695613849600_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=WMCQKubbnGUAX_JLrcg&oh=1250f636c47a80467611ebc93bfeeb68&oe=5EACA578,mattelazzari
1,0,2,14,0,0,1,81,3109,298,1,1.235,0.833,160.556,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/87220910_588161991735932_4748998957558923264_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=c_iQCiCnO-4AX99_p9m&oh=bbc27bd8390e2a87d9ce8ec59845c6aa&oe=5EAFAD91,davidobrasil
1,0,2,0,0,0,1,498,1071,1999,1,2.0,5.333,95.4,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/85102661_631303377627546_381333571933044736_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=1p6DTNbfkssAX-IqEmJ&oh=4188038dfa6fc0365830299bb4e22386&oe=5EAE4260,sofiazammarchi_
1,0,2,0,0,0,0,139,4813,1261,1,1.0,1.364,688.76,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/84689293_2414482678657789_6268183410468978688_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=-jbvT0oXUmkAX9VGFVJ&oh=4969171621c50196b885f68b7906d935&oe=5EAD7092,giuliamarasi
1,0,2,119,1,1,0,18035,2893954,3,1,8.0,100.0,106835.74,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/79346594_1576753409132307_8902240888365776896_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=riSWHKXrenkAX_2pihg&oh=ad0cad326330752f1a3af7565f1f9c5f&oe=5EAD8EEB,insanitypage
1,0.308,2,143,1,0,1,64,390,403,1,6.25,1.636,38.984,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/20838462_262254574286572_7652489294531002368_a.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=rzWHS6h81KsAX8Bq2P5&oh=141ac7531be92442e579af2a5e358e6e&oe=5EAEE2B9,palanzano1946
1,0,2,22,1,0,0,972,756,763,1,2.0,8.333,31.88,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/80898232_518911318726940_4709204260200382464_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=1kgQrXM9obcAX8ywk1t&oh=2f8910f79d090e3a68eb4c8f3e083e85&oe=5EAF578B,sofi_vicini
1,0,2,82,0,1,0,3062,52270056,1135,1,9.0,14.286,1065826.59,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/75403220_2814819812077842_1639157011339804672_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=LSMTdtN6hucAX-RGu23&oh=93de4ef0f4a2006860c3f873a7485fe8&oe=5EADC124,gigihadid
1,0.077,2,148,1,1,0,1651,4522020,1136,1,2.0,14.286,91026.68,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/73685220_1375163282658611_3294292546561245184_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=b6i5Cp6ho1IAX-W3hbb&oh=377e596e5869d56a5dd323233d2e5cea&oe=5EAD0124,marchisiocla8
1,0,2,0,1,1,0,2781,210038315,439,1,3.0,16.667,5996831.89,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/67310557_649773548849427_4130659181743046656_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=pDYuaHFqXdkAX-ttqwX&oh=c624f7d3a1cea21daccc529dd973e47d&oe=5EABFE23,cristiano
1,0,2,59,1,1,0,998,37361172,380,1,2.0,12.5,1474229.61,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/53298702_809622066057244_1801258371400073216_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=U6wgOYaxnXsAX8rvwjN&oh=c827fe6bc9ab5a9e064b4ce5bcbe52e3&oe=5EAE389A,paulodybala
1,0,3,82,1,1,1,8597,38518592,57,1,10.0,50.0,393906.02,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/80758603_830879507342575_8537491993343819776_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=8RHnPkv_RE0AX8DqAs0&oh=dd744b6dd53cd209f3d24649d7ae1b9e&oe=5EAD4779,juventus
1,0,1,47,0,0,1,99,1113,3124,1,5.051,12.286,55.465,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/81716437_599293607283707_6567901591481876480_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=d62IYrTnBwQAX_QuX65&oh=eb8b14ec241d44ef58463822368b19c7&oe=5EAF711C,unipulp
1,0,2,0,1,1,0,46,26692983,113,1,6.522,1.429,1096894.848,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/31494727_2251836558376575_3631982868445528064_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=--T75wbAnfUAX-erlNv&oh=caf5ca3a9f3e8a54e220863057d1c8d1&oe=5EAC8DBC,blakelively
1,0,2,0,1,1,0,261,5776816,329,1,3.0,2.667,349480.01,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/10598312_761545207236386_981872458_a.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=vgx94_962osAX-oDh2t&oh=31d30299f58b199a8c746236fed8d6dd&oe=5EADFDA4,itsmeleighton
1,0,3,96,1,0,0,42,260969,3,1,4.762,14.0,31250.5,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/79845378_1019128415106750_1317656414058971136_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=grmVw5E3jqEAX-8ba8Q&oh=d8b1589bfb05b6609ed13b20ee276828&oe=5EAED2B9,muschioselvaggio
1,0,5,20,1,1,0,4698,136401856,1215,1,3.0,25.0,2010008.24,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/87604026_178684873552764_4834091657081126912_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=o_V_diclQ38AX_9hx1t&oh=9678487f84ee6ca479cffb9775ef537b&oe=5EAF5C7D,neymarjr
1,0,2,0,0,0,0,143,1023,975,1,4.0,0.5,142.73,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/74880449_513764192554281_4689188973866647552_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=HNjc0c7qlHEAX8siYMv&oh=74b5d217d3cd232b79b7f5f2fe52ecb6&oe=5EAC1B65,giovi_teba
1,0,1,28,0,0,0,65,652,738,1,1.538,0.222,90.877,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/90959241_211130173539182_6959945635030106112_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=o9LV0r73_ZMAX9HZikO&oh=2eccc757db286e6aed1991284a3ea958&oe=5EAEE081,francesco_vignali_
1,0,1,0,0,0,0,187,313,444,1,2.0,2.417,41.28,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/21042306_159827437902708_7641875622888734720_a.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=GryOvXv4XAwAX-l2TtN&oh=e5cdd05126838d2ace4d8c591722f9af&oe=5EADEAC1,enrico_brilla
1,0,1,140,0,0,1,119,221622,502,1,4.0,1.25,17991.92,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/31978912_873296389534841_5108848622041038848_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=dtH4Bs4jwxgAX_5ELMS&oh=41e88a329ecda2be8fe61b5489b04dbe&oe=5EACF19D,umbertone_ilvero
