Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
0,0.143,2,0,122,0,0,0,0,0,97,461,Null,1
0,0.5,2,0,0,0,0,0,0,0,16,101,Null,1
1,0,2,0,0,0,0,0,1,110,833,3268,1,1
1,0,0,0,0,0,0,0,0,2,53,2021,0,1
0,0.333,0,0,0,0,0,0,0,0,0,0,Null,1
1,0,0,0,0,0,1,0,0,3,22,3951,Null,1
1,0,1,0,0,0,0,0,0,2,50,2196,0,1
1,0.333,0,0,0,0,0,0,0,0,31,3,Null,1
1,0,1,0,0,0,0,0,0,4,73,4636,0,1
1,0,0,0,134,1,0,0,0,38,381,920,0,1
1,0,1,0,0,0,0,0,0,2,64,4422,0,1
1,0,1,0,0,0,0,0,0,2,71,3390,0,1
1,0.278,2,0,85,1,0,0,0,620,373,621,0,1
1,0,0,0,0,0,0,0,0,3,73,6056,0,1
1,0,0,0,0,0,0,0,0,2,69,5355,0,1
1,0.235,1,0,0,0,0,0,0,14,160,635,0,1
0,0.7,0,0,41,0,0,0,0,4,130,115,1,1
1,0,0,0,3,0,1,0,0,0,202,761,Null,1
1,0,1,0,0,0,0,0,0,2,50,2480,0,1
1,0,0,0,0,0,0,0,0,5,43,6194,0,1
0,0,0,0,0,0,0,0,0,0,147,843,Null,1
0,0,0,0,0,0,0,0,0,0,69,6129,Null,1
1,0,3,0,60,0,1,0,0,637,1550,3563,Null,1
1,0,0,0,0,0,0,0,0,5,54,3151,0,1
1,0,1,0,0,0,0,0,0,6,66,2756,0,1
1,0.4,2,0,6,0,1,0,0,149,53,1108,Null,1
1,0.125,2,0,0,0,0,0,0,1,426,4868,0,1
1,0,2,0,28,1,1,0,0,36,339,709,Null,1
1,0,0,0,0,0,0,0,0,4,87,5974,0,1
1,0.5,0,0,38,0,1,0,0,0,402,2265,Null,1
0,0.429,1,0,0,0,0,0,0,0,26,2716,Null,1
1,0,1,0,0,0,0,0,0,2,75,5662,0,1
1,0.286,2,0,0,0,1,0,0,1,15,19,Null,1
0,0.091,2,0,0,0,0,0,0,0,40,0,Null,1
