Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
1,0,2,42,1,0,0,0,102,678,405,0
1,0.067,2,0,0,0,0,0,58,334,434,0
1,0,0,0,0,0,0,0,44,539,364,0
1,0,2,14,0,0,0,0,188,3098,286,0
1,0,2,0,0,0,0,1,496,1079,1979,0
1,0,2,0,0,0,0,0,139,4823,1245,0
1,0,2,119,1,0,1,0,17929,2829981,3,0
1,0.308,2,143,1,0,0,1,59,388,403,0
1,0,2,22,1,0,0,0,1080,758,755,0
1,0,2,82,1,0,1,0,3059,52072642,1137,0
1,0.077,2,148,1,0,1,0,1646,4486001,1128,0
1,0,2,0,1,0,1,0,2777,207274684,440,0
1,0,2,59,1,0,1,0,993,36622051,373,0
1,0,3,82,1,0,1,1,8544,37929360,57,0
1,0,1,47,0,0,0,1,99,1091,3083,0
1,0,2,0,1,0,1,0,45,26597550,112,0
1,0,2,0,1,0,1,0,260,5763212,329,0
1,0,3,96,1,0,0,0,33,225723,3,0
1,0,2,32,1,0,0,1,233,904,830,0
1,0,2,0,0,0,0,0,143,1024,977,0
1,0,1,28,0,0,0,0,65,652,730,0
1,0,1,0,0,0,0,0,186,309,441,0
1,0,3,0,0,0,0,0,9,484,746,0
1,0,1,140,0,0,0,1,119,222202,496,0
1,0,2,116,1,0,0,1,445,221840,2,0
1,0.375,2,0,0,0,0,0,7,464,666,0
1,0,3,59,1,0,0,1,2319,287082,6,0
1,0,1,56,0,0,0,1,44,1043,597,0
1,0,2,58,0,0,0,1,4,114,171,0
1,0,2,18,1,0,1,1,543,1824784,345,0
1,0,2,65,0,0,0,1,175,830,769,0
1,0,2,0,0,0,0,1,80,440,397,0
1,0,2,146,1,0,0,1,750,2060,3296,0
1,0.2,2,0,0,0,0,0,7,104,199,0
1,0,2,90,1,0,0,0,136,746,765,0
1,0,2,0,0,0,0,0,130,860,716,0
1,0,2,94,0,0,0,0,98,1286,660,0
1,0,0,0,0,0,0,0,14,528,1193,0
1,0,2,141,0,0,0,0,59,535,649,0
1,0,2,11,0,0,0,1,63,623,527,0
1,0,2,23,1,0,1,0,27,30491886,329,0
1,0,2,0,0,0,0,1,22,332,719,0
1,0,2,47,0,0,0,1,702,1474,579,0
1,0,2,31,1,0,0,1,60,338,75,0
1,0,2,42,0,0,0,1,359,1586,829,0
1,0,4,90,1,0,0,1,871,28964,247,0
1,0.3,2,0,0,0,0,1,300,1050,510,0
1,0,2,6,0,0,0,0,38,1294,347,0
1,0,2,17,0,0,0,1,16,857,410,0
1,0,1,58,0,0,0,1,2185,370195,87,0
1,0,1,0,0,0,0,0,495,1885,939,0
1,0,1,149,0,0,0,1,156,226,187,0
1,0,0,46,0,0,0,1,512,58034,717,0
1,0.091,1,14,0,0,0,1,213,33000,296,0
1,0,5,70,1,0,0,1,9,3570,519,0
1,0,1,25,0,0,0,1,84,1118,570,0
1,0,3,146,1,0,0,1,974,5654,3800,0
1,0,3,119,1,0,0,0,2109,7460,1993,0
1,0,3,13,0,0,0,1,1497,874,379,0
